Channel,Date,Total Starts,Net New Subs,Total Subs,Average of Churn
PBS Kids (US),2025-03-01,37202.36734693877,1323.0,843645.625,0.07971428571428572
PBS Kids (US),2025-04-01,36186.28571428571,1749.0,844765.625,0.07971428571428572
PBS Kids (US),2025-05-01,36251.67346938775,4359.75,848931.5,0.07971428571428572
PBS Kids (US),2025-06-01,36008.489795918365,5090.25,853949.625,0.07971428571428572
PBS Kids (US),2025-07-01,57379.26530612244,19428.0,875695.125,0.08836770666994227
PBS Kids (US),2025-08-01,52183.51020408163,16995.0,894602.125,0.10919996724086156
PBS Kids (US),2025-09-01,48130.93877551019,-2708.25,890522.0,0.1029589781594664
PBS Kids (US),2025-10-01,41800.081632653055,-3612.75,885386.625,0.0953016671823526
PBS Kids (US),2025-11-01,40294.69387755101,3198.0,888197.125,0.09215680473372781
PBS Kids (US),2025-12-01,34342.20408163265,-4340.25,882213.0,0.10028571428571428
Masterpiece (US),2023-01-01,96902.12244897959,23918.25,1309446.625,0.07457142857142858
Masterpiece (US),2023-02-01,79480.32653061223,11222.25,1321618.75,0.07457142857142858
Masterpiece (US),2023-03-01,103072.8163265306,33952.5,1360309.5,0.07457142857142858
Masterpiece (US),2023-04-01,82455.10204081632,19156.5,1381738.25,0.07457142857142858
Masterpiece (US),2023-05-01,61845.46938775509,-6675.75,1373029.375,0.07842857142857142
Masterpiece (US),2023-06-01,61675.02040816326,-10802.25,1359506.25,0.0822857142857143
Masterpiece (US),2023-07-01,96323.91836734692,27343.5,1390486.5,0.038571428571428576
Masterpiece (US),2023-08-01,59204.24489795918,-10438.5,1377401.75,0.2327142857142857
Masterpiece (US),2023-09-01,85698.77551020407,119.25,1376620.375,0.2327142857142857
Masterpiece (US),2023-10-01,91547.67346938775,21663.75,1400974.25,0.19864285714285715
Masterpiece (US),2023-11-01,100114.20408163263,51288.75,1459890.625,0.1665
Masterpiece (US),2023-12-01,89589.71428571428,26049.0,1489360.625,0.13307142857142856
Masterpiece (US),2024-01-01,133014.53061224488,24654.0,1517203.125,0.10028571428571428
Masterpiece (US),2024-02-01,114369.4693877551,20580.0,1540292.625,0.10028571428571428
Masterpiece (US),2024-03-01,78779.42857142857,5282.25,1545534.75,0.10028571428571428
Masterpiece (US),2024-04-01,62774.122448979586,-8163.75,1535089.875,0.10028571428571428
